Country / territory of asylum/residence,Origin,Year,Month,Value,Date
Australia,Indonesia,2014,April,21,4/1/14
Australia,Indonesia,2014,May,11,5/1/14
Australia,Indonesia,2014,June,9,6/1/14
Australia,Indonesia,2014,July,10,7/1/14
Australia,Indonesia,2014,August,12,8/1/14
Australia,Indonesia,2014,September,6,9/1/14
Australia,Indonesia,2014,October,6,10/1/14
Australia,Indonesia,2014,November,21,11/1/14
Australia,Indonesia,2014,December,10,12/1/14
Australia,Indonesia,2015,January,0,1/1/15
Australia,Indonesia,2015,February,0,2/1/15
Australia,Indonesia,2015,March,8,3/1/15
Australia,Indonesia,2015,April,11,4/1/15
Australia,Indonesia,2015,May,12,5/1/15
Australia,Indonesia,2015,June,16,6/1/15
Australia,Indonesia,2015,July,24,7/1/15
Australia,Indonesia,2015,August,28,8/1/15
Australia,Indonesia,2015,September,43,9/1/15
Australia,Indonesia,2015,October,22,10/1/15
Australia,Indonesia,2015,November,23,11/1/15
Australia,Indonesia,2015,December,21,12/1/15
Australia,Indonesia,2016,January,32,1/1/16
Australia,Indonesia,2016,February,18,2/1/16
Australia,Indonesia,2016,March,17,3/1/16
Australia,Indonesia,2016,April,17,4/1/16
Australia,Ireland,1999,December,1,12/1/99
Australia,Ireland,2000,July,1,7/1/00
Australia,Ireland,2000,November,1,11/1/00
Australia,Ireland,2001,October,1,10/1/01
Australia,Ireland,2006,February,1,2/1/06
Australia,Ireland,2010,December,1,12/1/10
Australia,Ireland,2012,May,1,5/1/12
Australia,Ireland,2012,July,1,7/1/12
Australia,Ireland,2012,November,1,11/1/12
Australia,Ireland,2013,January,1,1/1/13
Australia,Ireland,2013,February,3,2/1/13
Australia,Ireland,2013,March,1,3/1/13
Australia,Ireland,2013,June,3,6/1/13
Australia,Ireland,2013,July,1,7/1/13
Australia,Ireland,2013,August,3,8/1/13
Australia,Ireland,2013,November,1,11/1/13
Australia,Ireland,2013,December,3,12/1/13
Australia,Ireland,2014,January,0,1/1/14
Australia,Ireland,2014,February,0,2/1/14
Australia,Ireland,2014,March,6,3/1/14
Australia,Ireland,2014,April,6,4/1/14
Australia,Ireland,2014,May,0,5/1/14
Australia,Ireland,2014,June,0,6/1/14
Australia,Ireland,2014,July,5,7/1/14
Australia,Ireland,2014,August,17,8/1/14
Australia,Ireland,2014,September,10,9/1/14
Australia,Ireland,2014,October,12,10/1/14
Australia,Ireland,2014,November,11,11/1/14
Australia,Ireland,2014,December,6,12/1/14
Australia,Ireland,2015,March,0,3/1/15
Australia,Ireland,2015,April,6,4/1/15
Australia,Ireland,2015,May,10,5/1/15
Australia,Congo,2002,August,1,8/1/02
Australia,Congo,2003,January,1,1/1/03
Australia,Congo,2003,June,1,6/1/03
Australia,Congo,2003,July,1,7/1/03
Australia,Congo,2004,February,1,2/1/04
Australia,Congo,2004,March,1,3/1/04
Australia,Congo,2004,July,1,7/1/04
Australia,Congo,2004,August,1,8/1/04
Australia,Congo,2004,December,1,12/1/04
Australia,Congo,2005,May,1,5/1/05
Australia,Congo,2005,June,1,6/1/05
Australia,Congo,2005,August,2,8/1/05
Australia,Congo,2005,September,1,9/1/05
Australia,Congo,2007,May,2,5/1/07
Australia,Congo,2008,March,1,3/1/08
Australia,Congo,2008,November,1,11/1/08
Australia,Congo,2008,December,1,12/1/08
Australia,Congo,2009,March,2,3/1/09
Australia,Congo,2009,September,1,9/1/09
Australia,Congo,2010,August,1,8/1/10
Australia,Congo,2011,February,1,2/1/11
Australia,Congo,2012,February,1,2/1/12
Australia,Congo,2013,January,1,1/1/13
Australia,Congo,2013,April,1,4/1/13
Australia,Congo,2013,August,1,8/1/13
Australia,Congo,2013,October,1,10/1/13
Australia,Congo,2014,November,0,11/1/14
Australia,Dem. Rep. of the Congo,1999,May,1,5/1/99
Australia,Dem. Rep. of the Congo,1999,June,2,6/1/99
Australia,Dem. Rep. of the Congo,1999,September,1,9/1/99
Australia,Dem. Rep. of the Congo,2000,February,1,2/1/00
Australia,Dem. Rep. of the Congo,2000,September,1,9/1/00
Australia,Dem. Rep. of the Congo,2000,November,1,11/1/00
Australia,Dem. Rep. of the Congo,2001,April,1,4/1/01
Australia,Dem. Rep. of the Congo,2002,March,1,3/1/02
Australia,Dem. Rep. of the Congo,2002,August,1,8/1/02
Australia,Dem. Rep. of the Congo,2003,January,1,1/1/03
Australia,Dem. Rep. of the Congo,2003,September,1,9/1/03
Australia,Dem. Rep. of the Congo,2003,November,1,11/1/03
Australia,Dem. Rep. of the Congo,2004,January,1,1/1/04
Australia,Dem. Rep. of the Congo,2004,December,4,12/1/04
Australia,Dem. Rep. of the Congo,2007,November,1,11/1/07
Australia,Dem. Rep. of the Congo,2007,December,1,12/1/07
Australia,Dem. Rep. of the Congo,2008,January,1,1/1/08
Australia,Dem. Rep. of the Congo,2008,June,2,6/1/08
Australia,Dem. Rep. of the Congo,2008,August,5,8/1/08
Australia,Dem. Rep. of the Congo,2008,December,1,12/1/08
Australia,Dem. Rep. of the Congo,2009,March,2,3/1/09
Australia,Dem. Rep. of the Congo,2009,July,1,7/1/09
Australia,Dem. Rep. of the Congo,2009,September,1,9/1/09
Australia,Dem. Rep. of the Congo,2010,April,1,4/1/10
Australia,Dem. Rep. of the Congo,2010,July,2,7/1/10
Australia,Dem. Rep. of the Congo,2010,November,1,11/1/10
Australia,Dem. Rep. of the Congo,2011,April,1,4/1/11
Australia,Dem. Rep. of the Congo,2011,July,2,7/1/11
Australia,Dem. Rep. of the Congo,2011,October,4,10/1/11
Australia,Dem. Rep. of the Congo,2012,June,1,6/1/12
Australia,Dem. Rep. of the Congo,2012,July,2,7/1/12
Australia,Dem. Rep. of the Congo,2012,August,1,8/1/12
Australia,Dem. Rep. of the Congo,2012,September,3,9/1/12
Australia,Dem. Rep. of the Congo,2012,December,1,12/1/12
Australia,Dem. Rep. of the Congo,2013,January,4,1/1/13
Australia,Dem. Rep. of the Congo,2013,April,2,4/1/13
Australia,Dem. Rep. of the Congo,2013,May,1,5/1/13
Australia,Dem. Rep. of the Congo,2013,June,1,6/1/13
Australia,Dem. Rep. of the Congo,2013,July,2,7/1/13
Australia,Dem. Rep. of the Congo,2014,July,5,7/1/14
Australia,Dem. Rep. of the Congo,2014,August,12,8/1/14
Australia,Dem. Rep. of the Congo,2014,September,0,9/1/14
Australia,Dem. Rep. of the Congo,2014,October,0,10/1/14
Australia,Dem. Rep. of the Congo,2014,December,0,12/1/14
Australia,Dem. Rep. of the Congo,2015,January,0,1/1/15
Australia,Dem. Rep. of the Congo,2015,June,0,6/1/15
Australia,Dem. Rep. of the Congo,2015,July,5,7/1/15
Australia,Dem. Rep. of the Congo,2015,August,0,8/1/15
Australia,Dem. Rep. of the Congo,2015,December,0,12/1/15
Australia,Dem. Rep. of the Congo,2016,February,5,2/1/16
Australia,Comoros,2001,February,2,2/1/01
Australia,Colombia,1999,January,12,1/1/99
Australia,Colombia,1999,February,14,2/1/99
Australia,Colombia,1999,March,21,3/1/99
Australia,Colombia,1999,April,23,4/1/99
Australia,Colombia,1999,May,3,5/1/99
Australia,Colombia,1999,June,10,6/1/99
Australia,Colombia,1999,July,14,7/1/99
Australia,Colombia,1999,August,12,8/1/99
Australia,Colombia,1999,September,4,9/1/99
Australia,Colombia,1999,October,4,10/1/99
Australia,Colombia,1999,November,10,11/1/99
Australia,Colombia,1999,December,14,12/1/99
Australia,Colombia,2000,January,9,1/1/00
Australia,Colombia,2000,February,2,2/1/00
Australia,Colombia,2000,March,17,3/1/00
Australia,Colombia,2000,April,10,4/1/00
Australia,Colombia,2000,May,6,5/1/00
Australia,Colombia,2000,June,13,6/1/00
Australia,Colombia,2000,July,14,7/1/00
Australia,Colombia,2000,August,10,8/1/00
Australia,Colombia,2000,September,4,9/1/00
Australia,Palestinian,2006,August,1,8/1/06
Australia,Palestinian,2006,September,2,9/1/06
Australia,Palestinian,2006,November,3,11/1/06
Australia,Palestinian,2007,January,1,1/1/07
Australia,Palestinian,2007,February,1,2/1/07
Australia,Palestinian,2007,March,1,3/1/07
Australia,Palestinian,2007,May,1,5/1/07
Australia,Palestinian,2007,June,1,6/1/07
Australia,Palestinian,2007,July,2,7/1/07
Australia,Palestinian,2007,September,4,9/1/07
Australia,Palestinian,2007,November,9,11/1/07
Australia,Palestinian,2008,January,1,1/1/08
Australia,Palestinian,2008,February,2,2/1/08
Australia,Palestinian,2008,March,1,3/1/08
Australia,Palestinian,2008,June,6,6/1/08
Australia,Palestinian,2008,August,1,8/1/08
Australia,Palestinian,2008,September,1,9/1/08
Australia,Palestinian,2009,January,1,1/1/09
Australia,Palestinian,2009,February,2,2/1/09
Australia,Palestinian,2009,March,6,3/1/09
Australia,Palestinian,2009,May,2,5/1/09
Australia,Palestinian,2009,July,2,7/1/09
Australia,Palestinian,2009,August,7,8/1/09
Australia,Palestinian,2009,September,2,9/1/09
Australia,Palestinian,2009,October,1,10/1/09
Australia,Palestinian,2010,January,2,1/1/10
Australia,Palestinian,2010,February,2,2/1/10
Australia,Palestinian,2010,March,6,3/1/10
Australia,Palestinian,2010,April,5,4/1/10
Australia,Palestinian,2010,May,1,5/1/10
Australia,Palestinian,2010,June,7,6/1/10
Australia,Palestinian,2010,July,1,7/1/10
Australia,Palestinian,2010,August,3,8/1/10
Australia,Palestinian,2010,September,4,9/1/10
Australia,Palestinian,2010,October,7,10/1/10
Australia,Palestinian,2010,November,8,11/1/10
Australia,Palestinian,2010,December,4,12/1/10
Australia,Palestinian,2011,January,1,1/1/11
Australia,Palestinian,2011,February,5,2/1/11
Australia,Palestinian,2011,March,3,3/1/11
Australia,Palestinian,2011,April,4,4/1/11
Australia,Palestinian,2011,May,1,5/1/11
Australia,Palestinian,2011,June,1,6/1/11
Australia,Palestinian,2011,July,2,7/1/11
Australia,Palestinian,2011,August,1,8/1/11
Australia,Palestinian,2011,September,22,9/1/11
Australia,Palestinian,2011,October,1,10/1/11
Australia,Palestinian,2011,November,3,11/1/11
Australia,Palestinian,2011,December,10,12/1/11
Australia,Palestinian,2012,January,5,1/1/12
Australia,Palestinian,2012,February,26,2/1/12
Australia,Palestinian,2012,March,2,3/1/12
Australia,Palestinian,2012,May,29,5/1/12
Australia,Palestinian,2012,June,14,6/1/12
Australia,Palestinian,2012,July,5,7/1/12
Australia,Palestinian,2012,August,3,8/1/12
Australia,Palestinian,2012,September,23,9/1/12
Australia,Palestinian,2012,October,29,10/1/12
Australia,Palestinian,2012,November,8,11/1/12
Australia,Palestinian,2012,December,1,12/1/12
Australia,Palestinian,2013,January,15,1/1/13
Australia,Palestinian,2013,February,8,2/1/13
Australia,Palestinian,2013,March,3,3/1/13
Australia,Palestinian,2013,April,1,4/1/13
Australia,Palestinian,2013,May,1,5/1/13
Australia,Palestinian,2013,July,2,7/1/13
Australia,Palestinian,2013,September,9,9/1/13
Australia,Palestinian,2013,October,5,10/1/13
Australia,Palestinian,2013,November,3,11/1/13
Australia,Palestinian,2013,December,1,12/1/13
Australia,Palestinian,2014,January,0,1/1/14
Australia,Palestinian,2014,February,0,2/1/14
Australia,Palestinian,2014,March,0,3/1/14
Australia,Palestinian,2014,April,0,4/1/14
Australia,Palestinian,2014,June,0,6/1/14
Australia,Palestinian,2014,July,0,7/1/14
Australia,Palestinian,2014,August,0,8/1/14
Australia,Palestinian,2014,October,0,10/1/14
Australia,Palestinian,2014,December,0,12/1/14
Australia,Palestinian,2015,January,0,1/1/15
Australia,Palestinian,2015,February,0,2/1/15
Australia,Palestinian,2015,May,0,5/1/15
Australia,Palestinian,2015,June,7,6/1/15
Australia,Palestinian,2015,August,0,8/1/15
Australia,Palestinian,2015,September,0,9/1/15
Australia,Palestinian,2015,October,0,10/1/15
Australia,Palestinian,2015,December,6,12/1/15
Australia,Palestinian,2016,January,1,1/1/16
Australia,Palestinian,2016,February,16,2/1/16
Australia,Palestinian,2016,March,5,3/1/16
Australia,Palestinian,2016,April,3,4/1/16
Australia,United Kingdom of Great Britain and Northern Ireland,1999,January,3,1/1/99
Australia,United Kingdom of Great Britain and Northern Ireland,1999,February,3,2/1/99
Australia,United Kingdom of Great Britain and Northern Ireland,1999,March,3,3/1/99
Australia,United Kingdom of Great Britain and Northern Ireland,1999,April,2,4/1/99
Australia,United Kingdom of Great Britain and Northern Ireland,1999,May,3,5/1/99
Australia,United Kingdom of Great Britain and Northern Ireland,1999,June,1,6/1/99
Australia,United Kingdom of Great Britain and Northern Ireland,1999,July,6,7/1/99
Australia,United Kingdom of Great Britain and Northern Ireland,1999,August,4,8/1/99
Australia,United Kingdom of Great Britain and Northern Ireland,1999,September,2,9/1/99
Australia,United Kingdom of Great Britain and Northern Ireland,1999,November,1,11/1/99
Australia,United Kingdom of Great Britain and Northern Ireland,2000,January,2,1/1/00
Australia,United Kingdom of Great Britain and Northern Ireland,2000,February,4,2/1/00
Australia,United Kingdom of Great Britain and Northern Ireland,2000,March,2,3/1/00
Australia,United Kingdom of Great Britain and Northern Ireland,2000,April,1,4/1/00
Australia,United Kingdom of Great Britain and Northern Ireland,2000,May,1,5/1/00
Australia,United Kingdom of Great Britain and Northern Ireland,2000,June,1,6/1/00
Australia,United Kingdom of Great Britain and Northern Ireland,2000,July,1,7/1/00
Australia,United Kingdom of Great Britain and Northern Ireland,2000,August,1,8/1/00
Australia,United Kingdom of Great Britain and Northern Ireland,2000,September,1,9/1/00
Australia,United Kingdom of Great Britain and Northern Ireland,2000,October,2,10/1/00
Australia,United Kingdom of Great Britain and Northern Ireland,2001,January,2,1/1/01
Australia,United Kingdom of Great Britain and Northern Ireland,2001,February,2,2/1/01
Australia,United Kingdom of Great Britain and Northern Ireland,2001,April,1,4/1/01
Australia,United Kingdom of Great Britain and Northern Ireland,2001,July,2,7/1/01
Australia,United Kingdom of Great Britain and Northern Ireland,2001,August,1,8/1/01
Australia,United Kingdom of Great Britain and Northern Ireland,2001,September,1,9/1/01
Australia,United Kingdom of Great Britain and Northern Ireland,2001,November,2,11/1/01
Australia,United Kingdom of Great Britain and Northern Ireland,2001,December,1,12/1/01
Australia,United Kingdom of Great Britain and Northern Ireland,2002,January,1,1/1/02
Australia,United Kingdom of Great Britain and Northern Ireland,2002,February,1,2/1/02
Australia,United Kingdom of Great Britain and Northern Ireland,2002,March,1,3/1/02
Australia,United Kingdom of Great Britain and Northern Ireland,2002,May,1,5/1/02
Australia,United Kingdom of Great Britain and Northern Ireland,2002,August,1,8/1/02
Australia,United Kingdom of Great Britain and Northern Ireland,2002,September,3,9/1/02
Australia,United Kingdom of Great Britain and Northern Ireland,2002,November,12,11/1/02
Australia,United Kingdom of Great Britain and Northern Ireland,2002,December,1,12/1/02
Australia,United Kingdom of Great Britain and Northern Ireland,2003,March,1,3/1/03
Australia,Ireland,2015,June,0,6/1/15
Australia,Ireland,2015,July,0,7/1/15
Australia,Ireland,2015,August,5,8/1/15
Australia,Ireland,2015,September,5,9/1/15
Australia,United Kingdom of Great Britain and Northern Ireland,2003,August,1,8/1/03
Australia,United Kingdom of Great Britain and Northern Ireland,2003,November,1,11/1/03
Australia,United Kingdom of Great Britain and Northern Ireland,2004,February,1,2/1/04
Australia,United Kingdom of Great Britain and Northern Ireland,2004,March,2,3/1/04
Australia,United Kingdom of Great Britain and Northern Ireland,2005,January,2,1/1/05
Australia,United Kingdom of Great Britain and Northern Ireland,2005,February,1,2/1/05
Australia,United Kingdom of Great Britain and Northern Ireland,2005,April,1,4/1/05
Australia,United Kingdom of Great Britain and Northern Ireland,2005,July,1,7/1/05
Australia,United Kingdom of Great Britain and Northern Ireland,2005,September,1,9/1/05
Australia,United Kingdom of Great Britain and Northern Ireland,2005,October,1,10/1/05
Australia,United Kingdom of Great Britain and Northern Ireland,2005,November,1,11/1/05
Australia,United Kingdom of Great Britain and Northern Ireland,2006,March,1,3/1/06
Australia,United Kingdom of Great Britain and Northern Ireland,2006,April,3,4/1/06
Australia,United Kingdom of Great Britain and Northern Ireland,2006,June,2,6/1/06
Australia,United Kingdom of Great Britain and Northern Ireland,2006,September,1,9/1/06
Australia,United Kingdom of Great Britain and Northern Ireland,2007,March,1,3/1/07
Australia,United Kingdom of Great Britain and Northern Ireland,2007,June,1,6/1/07
Australia,United Kingdom of Great Britain and Northern Ireland,2007,December,1,12/1/07
Australia,United Kingdom of Great Britain and Northern Ireland,2008,February,1,2/1/08
Australia,United Kingdom of Great Britain and Northern Ireland,2008,March,1,3/1/08
Australia,United Kingdom of Great Britain and Northern Ireland,2008,May,1,5/1/08
Australia,United Kingdom of Great Britain and Northern Ireland,2008,July,1,7/1/08
Australia,United Kingdom of Great Britain and Northern Ireland,2008,August,1,8/1/08
Australia,United Kingdom of Great Britain and Northern Ireland,2008,September,2,9/1/08
Australia,United Kingdom of Great Britain and Northern Ireland,2008,October,1,10/1/08
Australia,United Kingdom of Great Britain and Northern Ireland,2009,February,1,2/1/09
Australia,United Kingdom of Great Britain and Northern Ireland,2009,April,4,4/1/09
Australia,United Kingdom of Great Britain and Northern Ireland,2009,May,5,5/1/09
Australia,United Kingdom of Great Britain and Northern Ireland,2009,July,1,7/1/09
Australia,United Kingdom of Great Britain and Northern Ireland,2009,August,1,8/1/09
Australia,United Kingdom of Great Britain and Northern Ireland,2009,October,1,10/1/09
Australia,United Kingdom of Great Britain and Northern Ireland,2009,December,2,12/1/09
Australia,United Kingdom of Great Britain and Northern Ireland,2010,February,1,2/1/10
Australia,Kiribati,2013,December,2,12/1/13
Australia,Kiribati,2014,February,0,2/1/14
Australia,Rep. of Korea,1999,January,12,1/1/99
Australia,Rep. of Korea,1999,February,31,2/1/99
Australia,Rep. of Korea,1999,March,30,3/1/99
Australia,Rep. of Korea,1999,April,21,4/1/99
Australia,Rep. of Korea,1999,May,37,5/1/99
Australia,Rep. of Korea,1999,June,23,6/1/99
Australia,Rep. of Korea,1999,July,45,7/1/99
Australia,Rep. of Korea,1999,August,19,8/1/99
Australia,Rep. of Korea,1999,September,14,9/1/99
Australia,Rep. of Korea,1999,October,22,10/1/99
Australia,Rep. of Korea,1999,November,14,11/1/99
Australia,Rep. of Korea,1999,December,13,12/1/99
Australia,Rep. of Korea,2000,January,9,1/1/00
Australia,Rep. of Korea,2000,February,17,2/1/00
Australia,Rep. of Korea,2000,March,12,3/1/00
Australia,Rep. of Korea,2000,April,4,4/1/00
Australia,Rep. of Korea,2000,May,15,5/1/00
Australia,Rep. of Korea,2000,June,11,6/1/00
Australia,Rep. of Korea,2000,July,9,7/1/00
Australia,Rep. of Korea,2000,August,6,8/1/00
Australia,Rep. of Korea,2000,September,14,9/1/00
Australia,Rep. of Korea,2000,October,6,10/1/00
Australia,Rep. of Korea,2000,November,7,11/1/00
Australia,Rep. of Korea,2000,December,16,12/1/00
Australia,Rep. of Korea,2001,January,14,1/1/01
Australia,Rep. of Korea,2001,February,31,2/1/01
Australia,Rep. of Korea,2001,March,13,3/1/01
Australia,Rep. of Korea,2001,April,14,4/1/01
Australia,Rep. of Korea,2001,May,6,5/1/01
Australia,Rep. of Korea,2001,June,16,6/1/01
Australia,Rep. of Korea,2001,July,29,7/1/01
Australia,Rep. of Korea,2001,August,32,8/1/01
Australia,Rep. of Korea,2001,September,32,9/1/01
Australia,Rep. of Korea,2001,October,25,10/1/01
Australia,Rep. of Korea,2001,November,13,11/1/01
Australia,Rep. of Korea,2001,December,31,12/1/01
Australia,Rep. of Korea,2002,January,38,1/1/02
Australia,Rep. of Korea,2002,February,26,2/1/02
Australia,Rep. of Korea,2002,March,23,3/1/02
Australia,Rep. of Korea,2002,April,27,4/1/02
Australia,Rep. of Korea,2002,May,47,5/1/02
Australia,Rep. of Korea,2002,June,30,6/1/02
Australia,Rep. of Korea,2002,July,30,7/1/02
Australia,Rep. of Korea,2002,August,23,8/1/02
Australia,Rep. of Korea,2002,September,7,9/1/02
Australia,Rep. of Korea,2002,October,21,10/1/02
Australia,Rep. of Korea,2002,November,9,11/1/02
Australia,Rep. of Korea,2002,December,16,12/1/02
Australia,Rep. of Korea,2003,January,19,1/1/03
Australia,Rep. of Korea,2003,February,14,2/1/03
Australia,Rep. of Korea,2003,March,33,3/1/03
Australia,Rep. of Korea,2003,April,42,4/1/03
Australia,Rep. of Korea,2003,May,17,5/1/03
Australia,Rep. of Korea,2003,June,17,6/1/03
Australia,Rep. of Korea,2003,July,17,7/1/03
Australia,Rep. of Korea,2003,August,11,8/1/03
Australia,Rep. of Korea,2003,September,25,9/1/03
Australia,Rep. of Korea,2003,October,1,10/1/03
Australia,Rep. of Korea,2003,November,8,11/1/03
Australia,Rep. of Korea,2003,December,11,12/1/03
Australia,Rep. of Korea,2004,February,3,2/1/04
Australia,Rep. of Korea,2004,March,19,3/1/04
Australia,Rep. of Korea,2004,April,3,4/1/04
Australia,Rep. of Korea,2004,May,1,5/1/04
Australia,Rep. of Korea,2004,June,16,6/1/04
Australia,Rep. of Korea,2004,July,19,7/1/04
Australia,Rep. of Korea,2004,August,17,8/1/04
Australia,Rep. of Korea,2004,September,2,9/1/04
Australia,Rep. of Korea,2004,October,5,10/1/04
Australia,Rep. of Korea,2004,November,15,11/1/04
Australia,Rep. of Korea,2004,December,3,12/1/04
Australia,Rep. of Korea,2005,January,1,1/1/05
Australia,Rep. of Korea,2005,March,17,3/1/05
Australia,Rep. of Korea,2005,April,2,4/1/05
Australia,Rep. of Korea,2005,May,3,5/1/05
Australia,Rep. of Korea,2005,June,7,6/1/05
Australia,Rep. of Korea,2005,July,2,7/1/05
Australia,Rep. of Korea,2005,August,3,8/1/05
Australia,Rep. of Korea,2005,September,6,9/1/05
Australia,Rep. of Korea,2005,October,12,10/1/05
Australia,Rep. of Korea,2005,November,11,11/1/05
Australia,Rep. of Korea,2005,December,6,12/1/05
Australia,Rep. of Korea,2006,January,8,1/1/06
Australia,Rep. of Korea,2006,February,5,2/1/06
Australia,Rep. of Korea,2006,March,10,3/1/06
Australia,Rep. of Korea,2006,April,4,4/1/06
Australia,Rep. of Korea,2006,May,4,5/1/06
Australia,Rep. of Korea,2006,June,8,6/1/06
Australia,Rep. of Korea,2006,July,6,7/1/06
Australia,Rep. of Korea,2006,August,6,8/1/06
Australia,Rep. of Korea,2006,September,8,9/1/06
Australia,Rep. of Korea,2006,October,9,10/1/06
Australia,Rep. of Korea,2006,November,11,11/1/06
Australia,Rep. of Korea,2006,December,10,12/1/06
Australia,Rep. of Korea,2007,January,6,1/1/07
Australia,Rep. of Korea,2007,February,1,2/1/07
Australia,Rep. of Korea,2007,March,4,3/1/07
Australia,Rep. of Korea,2007,May,3,5/1/07
Australia,Rep. of Korea,2007,June,17,6/1/07
Australia,Rep. of Korea,2007,July,13,7/1/07
Australia,Rep. of Korea,2007,August,5,8/1/07
Australia,Rep. of Korea,2007,September,7,9/1/07
Australia,Rep. of Korea,2007,October,2,10/1/07
Australia,Rep. of Korea,2007,November,8,11/1/07
Australia,Rep. of Korea,2007,December,12,12/1/07
Australia,Rep. of Korea,2008,January,8,1/1/08
Australia,Rep. of Korea,2008,February,10,2/1/08
Australia,Rep. of Korea,2008,March,1,3/1/08
Australia,Rep. of Korea,2008,April,12,4/1/08
Australia,Rep. of Korea,2008,May,9,5/1/08
Australia,Rep. of Korea,2008,June,6,6/1/08
Australia,Rep. of Korea,2008,July,22,7/1/08
Australia,Rep. of Korea,2008,August,15,8/1/08
Australia,Rep. of Korea,2008,September,19,9/1/08
Australia,Rep. of Korea,2008,October,14,10/1/08
Australia,Rep. of Korea,2008,November,11,11/1/08
Australia,Rep. of Korea,2008,December,12,12/1/08
Australia,Rep. of Korea,2009,January,4,1/1/09
Australia,Rep. of Korea,2009,February,5,2/1/09
Australia,Rep. of Korea,2009,March,13,3/1/09
Australia,Rep. of Korea,2009,April,13,4/1/09
Australia,Rep. of Korea,2009,May,19,5/1/09
Australia,Rep. of Korea,2009,June,6,6/1/09
Australia,Rep. of Korea,2009,July,9,7/1/09
Australia,Rep. of Korea,2009,August,8,8/1/09
Australia,Rep. of Korea,2009,September,3,9/1/09
Australia,Rep. of Korea,2009,October,9,10/1/09
Australia,Rep. of Korea,2009,November,4,11/1/09
Australia,Rep. of Korea,2009,December,4,12/1/09
Australia,Rep. of Korea,2010,January,4,1/1/10
Australia,Rep. of Korea,2010,February,6,2/1/10
Australia,Rep. of Korea,2010,March,6,3/1/10
Australia,Rep. of Korea,2010,April,13,4/1/10
Australia,Rep. of Korea,2010,May,6,5/1/10
Australia,Rep. of Korea,2010,June,14,6/1/10
Australia,Rep. of Korea,2010,July,4,7/1/10
Australia,Rep. of Korea,2010,August,4,8/1/10
Australia,Rep. of Korea,2010,September,13,9/1/10
Australia,Rep. of Korea,2010,November,4,11/1/10
Australia,Rep. of Korea,2010,December,12,12/1/10
Australia,Rep. of Korea,2011,January,3,1/1/11
Australia,Rep. of Korea,2011,February,2,2/1/11
Australia,Rep. of Korea,2011,March,9,3/1/11
Australia,Rep. of Korea,2011,April,4,4/1/11
Australia,Rep. of Korea,2011,May,11,5/1/11
Australia,Rep. of Korea,2011,June,4,6/1/11
Australia,Rep. of Korea,2011,July,7,7/1/11
Australia,Rep. of Korea,2011,August,10,8/1/11
Australia,Rep. of Korea,2011,September,11,9/1/11
Australia,Rep. of Korea,2011,October,6,10/1/11
Australia,Rep. of Korea,2011,November,7,11/1/11
Australia,Rep. of Korea,2011,December,7,12/1/11
Australia,Rep. of Korea,2012,January,6,1/1/12
Australia,Rep. of Korea,2012,February,6,2/1/12
Australia,Rep. of Korea,2012,March,2,3/1/12
Australia,Rep. of Korea,2012,April,4,4/1/12
Australia,Rep. of Korea,2012,May,3,5/1/12
Australia,Rep. of Korea,2012,June,6,6/1/12
Australia,Rep. of Korea,2012,July,9,7/1/12
Australia,Rep. of Korea,2012,August,9,8/1/12
Australia,Rep. of Korea,2012,September,3,9/1/12
Australia,Rep. of Korea,2012,October,9,10/1/12
Australia,Rep. of Korea,2012,November,5,11/1/12
Australia,Rep. of Korea,2012,December,8,12/1/12
Australia,Rep. of Korea,2013,January,6,1/1/13
Australia,Rep. of Korea,2013,February,10,2/1/13
Australia,Rep. of Korea,2013,March,7,3/1/13
Australia,Rep. of Korea,2013,April,6,4/1/13
Australia,Rep. of Korea,2013,May,8,5/1/13
Australia,Rep. of Korea,2013,June,7,6/1/13
Australia,Rep. of Korea,2013,July,13,7/1/13
Australia,Rep. of Korea,2013,August,14,8/1/13
Australia,Rep. of Korea,2013,September,12,9/1/13
Australia,Rep. of Korea,2013,October,8,10/1/13
Australia,Rep. of Korea,2013,November,14,11/1/13
Australia,Rep. of Korea,2013,December,7,12/1/13
Australia,Rep. of Korea,2014,January,11,1/1/14
Australia,Rep. of Korea,2014,February,7,2/1/14
Australia,Rep. of Korea,2014,March,12,3/1/14
Australia,Rep. of Korea,2014,April,24,4/1/14
Australia,Rep. of Korea,2014,May,19,5/1/14
Australia,Rep. of Korea,2014,June,18,6/1/14
Australia,Rep. of Korea,2014,July,13,7/1/14
Australia,Rep. of Korea,2014,August,7,8/1/14
Australia,Rep. of Korea,2014,September,9,9/1/14
Australia,Rep. of Korea,2014,October,0,10/1/14
Australia,Rep. of Korea,2014,November,8,11/1/14
Australia,Rep. of Korea,2014,December,0,12/1/14
Australia,Rep. of Korea,2015,January,12,1/1/15
Australia,Rep. of Korea,2015,February,10,2/1/15
Australia,Rep. of Korea,2015,March,0,3/1/15
Australia,Rep. of Korea,2015,April,8,4/1/15
Australia,Rep. of Korea,2015,May,18,5/1/15
Australia,Rep. of Korea,2015,June,6,6/1/15
Australia,Rep. of Korea,2015,July,0,7/1/15
Australia,Rep. of Korea,2015,August,0,8/1/15
Australia,Rep. of Korea,2015,September,0,9/1/15
Australia,Rep. of Korea,2015,October,6,10/1/15
Australia,Rep. of Korea,2015,November,13,11/1/15
Australia,Rep. of Korea,2015,December,5,12/1/15
